,Uid,Swim_beach
411,-155.95421_19.60690,True
412,-155.95431_19.60733,True
413,-155.95370_19.60742,True
414,-155.95361_19.60699,True
415,-155.95357_19.60656,True
416,-155.95145_19.60625,True
417,-155.95234_19.60686,True
418,-155.95167_19.60685,True
419,-155.96200_19.60172,True
420,-155.96127_19.60041,True
421,-155.96265_19.60020,True
422,-155.96183_19.59891,True
423,-155.95677_19.59751,True
424,-155.95693_19.59841,True
425,-155.95213_19.60378,True
426,-155.95486_19.60236,True
427,-155.95651_19.60130,True
428,-155.95607_19.59991,True
429,-155.95881_19.59830,True
430,-155.95786_19.59725,True
431,-155.95809_19.59688,True
432,-155.95832_19.59740,True
433,-155.95862_19.59778,True
434,-155.95712_19.59298,True
435,-155.95716_19.59318,True
436,-155.95719_19.59337,True
437,-155.95721_19.59356,True
438,-155.95725_19.59375,True
439,-155.95730_19.59394,True
440,-155.95735_19.59413,True
441,-155.95740_19.59432,True
442,-155.95745_19.59451,True
443,-155.95751_19.59469,True
444,-155.95757_19.59489,True
445,-155.95763_19.59508,True
446,-155.95769_19.59528,True
447,-155.95773_19.59548,True
448,-155.95781_19.59578,True
449,-155.95790_19.59594,True
450,-155.95796_19.59610,True
451,-155.95808_19.59652,True
452,-155.95773_19.59658,True
453,-155.95736_19.59603,True
454,-155.95730_19.59583,True
455,-155.95725_19.59550,True
456,-155.95723_19.59530,True
457,-155.95716_19.59511,True
458,-155.95709_19.59494,True
459,-155.95703_19.59476,True
460,-155.95696_19.59458,True
461,-155.95690_19.59439,True
462,-155.95682_19.59421,True
463,-155.95675_19.59402,True
464,-155.95669_19.59383,True
465,-155.95669_19.59364,True
466,-155.95671_19.59344,True
467,-155.95667_19.59325,True
468,-155.95662_19.59306,True
469,-155.95665_19.59559,True
470,-155.95664_19.59537,True
471,-155.95634_19.59540,True
472,-155.95627_19.59565,True
473,-155.95608_19.59580,True
474,-155.95591_19.59518,True
475,-155.95594_19.59457,True
476,-155.95609_19.59478,True
477,-155.95631_19.59492,True
478,-155.95657_19.59496,True
479,-155.95641_19.59464,True
480,-155.95627_19.59441,True
481,-155.95617_19.59418,True
482,-155.95608_19.59397,True
483,-155.95606_19.59374,True
484,-155.95608_19.59350,True
485,-155.95613_19.59318,True
486,-155.95186_19.60461,True
487,-155.95194_19.60491,True
488,-155.95210_19.60573,True
489,-155.95168_19.60583,True
490,-155.95141_19.60543,True
491,-155.95196_19.60523,True
492,-155.95243_19.60504,True
493,-155.95241_19.60458,True
494,-155.95384_19.60441,True
495,-155.95353_19.60450,True
496,-155.94878_19.61445,True
497,-155.94855_19.61310,True
498,-155.95147_19.61216,True
499,-155.94961_19.61191,True
500,-155.95478_19.60378,True
501,-155.95465_19.60692,True
502,-155.95453_19.60652,True
503,-155.95203_19.60378,True
504,-155.95641_19.60130,True
505,-155.95709_19.59337,True
506,-155.95711_19.59356,True
507,-155.95176_19.60461,True
508,-155.95184_19.60491,True
509,-155.95200_19.60573,True
510,-155.95158_19.60583,True
511,-155.95186_19.60523,True
512,-155.95233_19.60504,True
513,-155.95231_19.60458,True
514,-155.94857_19.61416,True
515,-155.94877_19.61416,True
516,-155.95120_19.61147,True
517,-155.95140_19.61147,True
518,-155.95007_19.61707,True
519,-155.95027_19.61707,True
520,-155.95799_19.59688,True
521,-155.95819_19.59688,True
522,-155.95852_19.59778,True
523,-155.95872_19.59778,True
524,-155.95871_19.59830,True
525,-155.95891_19.59830,True
526,-155.95881_19.59840,True
527,-155.94767_19.62849,True
528,-155.94752_19.62620,True
529,-155.94786_19.62773,True
530,-155.94933_19.62591,True
531,-155.95031_19.62784,True
532,-155.94999_19.62693,True
533,-155.94965_19.62722,True
534,-155.94890_19.62679,True
535,-155.95102_19.62516,True
536,-155.94932_19.62788,True
537,-155.94154_19.62505,True
538,-155.94223_19.62830,True
539,-155.94258_19.62131,True
540,-155.94258_19.62176,True
541,-155.94246_19.62375,True
542,-155.94329_19.62378,True
543,-155.94482_19.62311,True
544,-155.94696_19.62117,True
545,-155.94791_19.62104,True
546,-155.94783_19.62128,True
547,-155.94551_19.62336,True
548,-155.94799_19.62415,True
549,-155.94794_19.62443,True
550,-155.94793_19.62477,True
551,-155.94687_19.62476,True
552,-155.94813_19.62569,True
553,-155.94783_19.62577,True
554,-155.94826_19.62525,True
555,-155.94805_19.62536,True
556,-155.94765_19.62545,True
557,-155.94694_19.62574,True
558,-155.94765_19.62326,True
559,-155.94553_19.62393,True
560,-155.94781_19.62356,True
561,-155.94763_19.62513,True
562,-155.94618_19.62418,True
563,-155.94867_19.61980,True
564,-155.94378_19.61990,True
565,-155.94258_19.61976,True
566,-155.94788_19.62067,True
567,-155.94871_19.62008,True
568,-155.94789_19.62023,True
569,-155.94379_19.62071,True
570,-155.94258_19.62066,True
