,Uid,In_WellCZ_B
817,-157.90896_21.39177,True
818,-157.90907_21.39168,True
819,-157.91832_21.39382,True
820,-157.94167_21.38828,True
821,-157.90784_21.39529,True
822,-157.94636_21.38759,True
823,-157.94637_21.38704,True
824,-157.94658_21.38614,True
825,-157.94410_21.41214,True
826,-157.99393_21.47641,True
827,-157.99823_21.47427,True
828,-157.99705_21.47363,True
829,-157.99833_21.47346,True
830,-157.99709_21.47228,True
831,-157.99681_21.47146,True
832,-157.99977_21.46949,True
833,-158.00682_21.44478,True
834,-158.00681_21.44433,True
835,-158.00706_21.44343,True
836,-157.99890_21.40688,True
837,-158.02381_21.38281,True
838,-158.03048_21.40580,True
839,-158.03155_21.40544,True
840,-158.03191_21.40536,True
841,-158.03264_21.40518,True
842,-158.02941_21.40435,True
843,-158.03258_21.40428,True
844,-158.03132_21.40364,True
845,-158.02938_21.40344,True
846,-158.03062_21.40336,True
847,-158.03038_21.40273,True
848,-158.02210_21.40169,True
849,-157.85300_21.43720,True
850,-157.73112_21.33072,True
851,-157.70199_21.32779,True
852,-158.08772_21.35788,True
853,-158.08687_21.35787,True
854,-158.08745_21.35760,True
855,-158.20041_21.46262,True
856,-158.20017_21.46226,True
857,-158.19966_21.45991,True
858,-157.80081_21.33304,True
859,-157.85744_21.32955,True
860,-157.86398_21.33059,True
861,-157.87760_21.34197,True
862,-157.86875_21.32655,True
863,-157.90747_21.39529,True
864,-157.90517_21.39545,True
865,-157.90580_21.39455,True
866,-157.90545_21.39301,True
867,-157.90691_21.39266,True
868,-157.90737_21.39230,True
869,-157.90853_21.39105,True
870,-157.90818_21.39421,True
871,-157.90853_21.39358,True
872,-157.94619_21.38786,True
873,-157.99818_21.47219,True
874,-157.99815_21.47138,True
875,-157.99823_21.47084,True
876,-157.99776_21.47038,True
877,-158.00468_21.40809,True
878,-158.00364_21.40772,True
879,-158.00260_21.40771,True
880,-157.85254_21.43620,True
881,-158.08553_21.35687,True
882,-157.80368_21.29755,True
883,-157.78493_21.31359,True
884,-157.78600_21.31306,True
885,-157.78450_21.31232,True
886,-157.78565_21.31513,True
