,Uid,UserDays
505,-159.46612_21.89661,88
506,-159.50152_21.91483,39
507,-159.50148_21.91504,39
508,-159.50136_21.91533,39
509,-159.49995_21.91783,23
510,-159.49849_21.91381,23
511,-159.47888_21.96240,56
512,-159.47865_21.91507,14
513,-159.48448_21.91995,17
514,-159.48260_21.91726,17
515,-159.39818_21.96230,28
516,-159.33686_22.05424,76
517,-159.32935_22.09395,38
518,-159.33028_22.09460,65
519,-159.32499_22.09766,42
520,-159.32517_22.09772,42
521,-159.48454_21.92602,14
522,-159.48351_21.93145,14
523,-159.46353_21.90660,81
524,-159.46052_21.91023,81
525,-159.46199_21.90547,81
526,-159.45824_21.90330,94
527,-159.45952_21.90472,94
528,-159.46256_21.88678,94
529,-159.46105_21.88766,94
530,-159.35994_21.96407,277
531,-159.39407_21.96664,55
532,-159.39064_21.96458,55
533,-159.39308_21.96413,55
534,-159.39249_21.96460,55
535,-159.39173_21.96560,55
536,-159.39770_21.96474,55
537,-159.40018_21.96417,1
538,-159.39835_21.96388,55
539,-159.39800_21.96346,55
540,-159.39861_21.96462,55
541,-159.39829_21.96493,55
542,-159.52644_21.91996,0
543,-159.52873_21.92124,0
544,-159.52938_21.92022,1
545,-159.51756_21.90351,3
546,-159.51673_21.90609,0
547,-159.51922_21.90768,3
548,-159.51525_21.90795,0
549,-159.51888_21.91431,2
550,-159.52361_21.91503,0
551,-159.52301_21.91643,0
552,-159.51771_21.90612,3
553,-159.51794_21.91186,3
554,-159.51861_21.91040,3
555,-159.51723_21.91015,3
556,-159.51648_21.91074,3
557,-159.51820_21.91356,3
558,-159.46212_21.89010,94
559,-159.46221_21.88938,84
560,-159.36294_21.95976,55
561,-159.36173_21.96552,277
562,-159.39242_21.96706,55
563,-159.39266_21.96692,55
564,-159.39309_21.96618,55
565,-159.39375_21.96633,55
566,-159.39280_21.96496,55
567,-159.39148_21.96569,55
568,-159.39642_21.96222,55
569,-159.39793_21.96266,28
570,-159.34789_21.95835,39
571,-159.36589_21.96893,277
572,-159.36942_21.97146,277
573,-159.36856_21.97005,277
574,-159.38276_22.05533,68
575,-159.38446_22.05494,68
576,-159.38390_22.05554,68
577,-159.38328_22.05602,68
578,-159.36963_22.05589,68
579,-159.36974_22.05605,68
580,-159.36800_22.05381,68
581,-159.36656_22.05229,123
582,-159.39200_22.06362,68
583,-159.39409_22.06417,68
584,-159.36981_22.05168,123
585,-159.37133_22.05195,123
586,-159.38253_22.05678,68
587,-159.38318_22.05747,68
588,-159.38018_22.06055,68
589,-159.38189_22.05964,68
590,-159.31778_22.09234,65
591,-159.31893_22.09070,38
592,-159.32256_22.09503,59
593,-159.32705_22.09646,23
594,-159.32449_22.09652,23
595,-159.32348_22.09692,23
596,-159.34561_22.10064,42
597,-159.34505_22.10088,42
598,-159.31636_22.09394,59
599,-159.31663_22.09241,65
600,-159.31946_22.09375,59
601,-159.31539_22.08435,70
602,-159.33991_22.10113,42
