,FID,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_calc
63,0,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.658584193,20.8635362018,Maui, ,0.0,0.0, , , ,15.0
64,1,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.658494494,20.8635571135,Maui, ,0.0,0.0, , , ,15.0
65,2,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.658544825,20.8634835526,Maui, ,0.0,0.0, , , ,15.0
66,3,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.658471264,20.8634990391,Maui, ,0.0,0.0, , , ,15.0
67,4,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657329134,20.8639791209,Maui, ,0.0,0.0, , , ,15.0
68,5,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.65724783,20.8639752492,Maui, ,0.0,0.0, , , ,15.0
69,6,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657174269,20.8639016883,Maui, ,0.0,0.0, , , ,15.0
70,7,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657220728,20.8638436139,Maui, ,0.0,0.0, , , ,15.0
71,8,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657127809,20.8638358707,Maui, ,0.0,0.0, , , ,15.0
72,9,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657131681,20.8637739246,Maui, ,0.0,0.0, , , ,15.0
73,10,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657123938,20.8635571135,Maui, ,0.0,0.0, , , ,15.0
74,11,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657193627,20.863510654,Maui, ,0.0,0.0, , , ,15.0
75,12,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657263316,20.8634641944,Maui, ,0.0,0.0, , , ,15.0
76,13,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657185884,20.8633364307,Maui, ,0.0,0.0, , , ,15.0
77,14,247003001,15.0,15.0,0.0,0.0,0.0,11200.0,0.042392,0.084784,IWS Database,2.0,56.0,3.0,-156.657100708,20.8634138633,Maui, ,0.0,0.0, , , ,15.0
78,0,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637829912,20.8439456458,Maui, ,0.0,0.0, , , ,27.0
79,1,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63776976,20.8439564281,Maui, ,0.0,0.0, , , ,27.0
80,2,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63781259,20.8438898032,Maui, ,0.0,0.0, , , ,27.0
81,3,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637755483,20.8439064594,Maui, ,0.0,0.0, , , ,27.0
82,4,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637791175,20.8438255578,Maui, ,0.0,0.0, , , ,27.0
83,5,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637748344,20.8437946248,Maui, ,0.0,0.0, , , ,27.0
84,6,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637688858,20.8438041426,Maui, ,0.0,0.0, , , ,27.0
85,7,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637631751,20.8438184194,Maui, ,0.0,0.0, , , ,27.0
86,8,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637665063,20.8438660086,Maui, ,0.0,0.0, , , ,27.0
87,9,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.63772217,20.8438660086,Maui, ,0.0,0.0, , , ,27.0
88,10,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637893492,20.8437208615,Maui, ,0.0,0.0, , , ,27.0
89,11,247009035,27.0,27.0,0.0,0.0,0.0,18000.0,0.06813,0.13626,Dwelling Database,1.0,90.0,4.0,-156.637933942,20.8438493524,Maui, ,0.0,0.0, , , ,27.0
