,BlockBk_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
4213,18160,137.5839320292682,11,0.0,High,1.0
4214,18165,98.21833068401523,21,0.0,High,1.0
4216,18168,84.71524085758327,21,1.0,Medium,2.0
4217,18169,79.66968408619579,13,1.0,Medium,2.0
4218,18170,88.18814473245077,12,1.0,Medium,2.0
4221,18173,86.90174662856147,29,0.2413793103448276,Medium,2.0
4222,18175,149.94947118579066,11,0.0,High,1.0
4223,18177,103.59197192327865,20,1.0,High,1.0
4224,18181,145.6629069930663,17,1.0,High,1.0
4226,18197,133.78342921287964,74,0.0,High,1.0
4229,18212,57.12255506853274,46,1.0,Low,3.0
4231,18215,78.70172962677434,22,1.0,Medium,2.0
4232,18219,63.832456145352914,19,1.0,Low,3.0
4233,18226,53.123628242980686,39,1.0,Low,3.0
4238,18235,56.03367416680788,11,1.0,Low,3.0
4240,18242,103.42601835439564,25,0.0,High,1.0
4243,18275,75.0972039450054,26,0.0,Medium,2.0
4245,18284,100.6427514836628,38,1.0,High,1.0
4246,18285,82.4799333048182,14,0.0,Medium,2.0
4247,18286,73.9192788596249,173,0.9132947976878613,Medium,2.0
4249,18292,78.5287131634875,91,1.0,Medium,2.0
4251,18307,138.3683884596129,44,0.0,High,1.0
4254,18328,142.52690815277825,33,1.0,High,1.0
4255,18329,125.12318361474793,17,1.0,High,1.0
4256,18330,129.27246966760075,13,1.0,High,1.0
4257,18332,128.27901654077408,19,0.0,High,1.0
4260,18338,136.44557143770857,13,0.0,High,1.0
4262,18347,60.05409274980592,38,1.0,Low,3.0
4264,18351,58.35249774689615,16,1.0,Low,3.0
4269,18370,72.23973425054804,31,0.0,Low,3.0
4270,18372,68.53671939207929,15,0.0,Low,3.0
4275,18390,79.41358149453714,19,1.0,Medium,2.0
4276,18391,82.1190963564524,33,0.8181818181818182,Medium,2.0
4278,18394,83.97846273066301,20,0.0,Medium,2.0
4279,18395,150.94872090086093,13,0.0,High,1.0
4280,18396,91.49365190266346,15,0.0,Medium,2.0
4281,18407,87.12309485647779,16,0.0,Medium,2.0
4283,18415,74.3079209681114,26,0.0,Medium,2.0
4285,18424,96.41145284475347,163,1.0,High,1.0
4286,18427,110.1822993875425,28,1.0,High,1.0
4287,18432,86.62875403260591,12,0.0,Medium,2.0
4290,18437,85.90848415347007,11,1.0,Medium,2.0
4293,18441,122.95740041420996,40,1.0,High,1.0
4294,18443,84.81459366695881,45,1.0,Medium,2.0
4296,18450,74.85690169604413,12,0.0,Medium,2.0
4298,18459,69.33352412176812,70,1.0,Low,3.0
4299,18461,88.59139079383071,16,1.0,Medium,2.0
4300,18463,126.26985652326013,16,1.0,High,1.0
4302,18469,115.62011879758806,19,0.0,High,1.0
4303,18473,142.01736309653083,15,0.0,High,1.0
4307,18481,65.86044208902798,18,1.0,Low,3.0
4308,18483,68.86847030074344,15,1.0,Low,3.0
4309,18484,78.71351996594144,35,1.0,Medium,2.0
4313,18491,62.91728242663613,16,1.0,Low,3.0
4314,18493,102.61972923247558,77,0.0,High,1.0
4316,18510,65.20186033268955,23,0.0,Low,3.0
4319,18523,98.8146126320746,12,0.0,High,1.0
4322,18571,92.60577968442097,39,1.0,Medium,2.0
4327,18619,90.84853005021115,15,1.0,Medium,2.0
4329,18624,83.26579233430655,16,1.0,Medium,2.0
4330,18625,72.06176157191895,12,1.0,Low,3.0
4333,18628,66.03808699286,15,1.0,Low,3.0
4335,18633,63.82495625675957,16,0.0,Low,3.0
4337,18657,92.71077133486195,17,0.0,Medium,2.0
4340,18684,76.31362513961065,20,0.0,Medium,2.0
4341,18687,74.39873109941313,28,0.0,Medium,2.0
4343,18697,62.9319089638922,24,0.9166666666666666,Low,3.0
4344,18700,117.29275069206491,14,0.0,High,1.0
4350,18724,65.0685078179505,13,1.0,Low,3.0
4351,18731,70.41686806095608,27,1.0,Low,3.0
4352,18732,122.50074155646507,11,1.0,High,1.0
4353,18733,67.7531109625278,27,1.0,Low,3.0
4354,18741,59.92746906341339,20,0.0,Low,3.0
4356,18747,70.0015771323718,13,0.0,Low,3.0
4357,18776,53.05283099300018,36,0.0,Low,3.0
4359,18778,72.29228218300365,13,0.0,Low,3.0
4360,18781,73.8360563514047,35,0.0,Medium,2.0
4361,18787,154.37707121958846,11,1.0,High,1.0
4364,18808,82.41636030609317,44,0.0,Medium,2.0
4366,18820,75.05829526840104,11,0.0,Medium,2.0
4369,18842,123.9889402808606,25,0.0,High,1.0
4370,18843,140.67651670920284,13,0.0,High,1.0
4371,18844,137.16186940311445,13,0.0,High,1.0
4376,18856,39.3861219094916,13,1.0,Low,3.0
4382,18885,137.08893130946592,17,0.0,High,1.0
4383,18886,139.15036845284487,21,0.0,High,1.0
4384,18887,138.58972033965836,12,0.0,High,1.0
4385,18888,140.84760949733544,15,0.0,High,1.0
4393,18923,70.09563075178387,29,0.0,Low,3.0
4395,18927,70.20873797562113,15,0.0,Low,3.0
4397,18935,135.7952401716755,50,0.0,High,1.0
4400,18947,79.92956273204513,52,0.0,Medium,2.0
4402,18956,86.48563345977813,18,1.0,Medium,2.0
4403,18958,130.8143176362023,22,1.0,High,1.0
4405,18960,139.38432799285886,15,1.0,High,1.0
4406,18961,137.96977109303074,17,1.0,High,1.0
4413,18997,77.93282399916343,30,1.0,Medium,2.0
4414,18998,96.29197923194549,18,1.0,High,1.0
4416,19006,141.2736013537712,52,1.0,High,1.0
4417,19024,59.50550613724753,14,1.0,Low,3.0
4418,19025,66.02246371380492,41,1.0,Low,3.0
4424,19043,70.44811290091027,12,1.0,Low,3.0
4425,19049,90.62786514923935,30,1.0,Medium,2.0
4428,19057,42.252004305337444,50,1.0,Low,3.0
4429,19058,55.88511880140843,31,1.0,Low,3.0
4430,19061,46.59396635669817,38,1.0,Low,3.0
4431,19062,55.51694649157172,13,1.0,Low,3.0
4434,19069,82.09455932762452,13,1.0,Medium,2.0
4435,19078,85.72483044542155,111,0.0,Medium,2.0
4436,19079,142.9750437721628,19,1.0,High,1.0
4437,19081,86.43190700264542,433,0.9953810623556582,Medium,2.0
4438,19082,129.96827819814445,31,0.0,High,1.0
4439,19084,88.47732116380668,16,0.0,Medium,2.0
4440,19085,82.1024682479136,28,0.0,Medium,2.0
4442,19088,89.5864925192245,46,0.0,Medium,2.0
4447,19121,105.11628389732157,161,1.0,High,1.0
4448,19123,79.16013773295676,44,1.0,Medium,2.0
4451,19137,62.52814665042349,22,0.0,Low,3.0
4453,19139,136.893862280974,11,0.0,High,1.0
4454,19140,129.68022648464867,50,0.0,High,1.0
4457,19145,117.14739541783422,58,1.0,High,1.0
4458,19146,120.23326853494078,14,1.0,High,1.0
4459,19149,89.56388591476653,21,1.0,Medium,2.0
4460,19150,90.30042066959902,12,1.0,Medium,2.0
4461,19151,133.3075286786404,21,0.0,High,1.0
4462,19152,127.72134885854116,15,1.0,High,1.0
4465,19161,71.01714658606942,58,1.0,Low,3.0
4466,19162,87.46569077209014,39,1.0,Medium,2.0
4467,19163,70.65886561824719,49,1.0,Low,3.0
4469,19166,65.16562268432591,11,1.0,Low,3.0
4470,19167,58.33377682342483,30,1.0,Low,3.0
4477,19194,87.21909221629484,43,1.0,Medium,2.0
4478,19196,58.00951152618583,18,1.0,Low,3.0
4480,19200,53.75008145747765,116,0.0,Low,3.0
4483,19205,153.81035033845575,12,1.0,High,1.0
4485,19232,73.38591189974566,25,0.0,Medium,2.0
4489,19264,74.08432467930042,11,0.0,Medium,2.0
4490,19268,117.01255108616395,29,1.0,High,1.0
4491,19285,137.76772015070475,32,0.0,High,1.0
4493,19293,138.68627380254614,11,0.0,High,1.0
4495,19297,110.47591807264726,29,0.0,High,1.0
4496,19304,97.77874113106358,17,1.0,High,1.0
4498,19308,94.20226850872922,67,1.0,High,1.0
4501,19317,82.79519097628742,16,1.0,Medium,2.0
4502,19319,61.64230225342473,13,0.0,Low,3.0
4503,19320,141.58981603573767,37,0.0,High,1.0
4504,19321,145.72678707887414,36,0.0,High,1.0
4506,19325,146.75436423643313,30,1.0,High,1.0
4507,19326,156.20331370486838,22,1.0,High,1.0
4509,19350,93.02510014649827,15,0.0,High,1.0
4519,19383,74.41638144601232,12,0.0,Medium,2.0
4521,19389,107.74040844183033,45,0.0,High,1.0
4522,19391,128.51221403479263,14,0.0,High,1.0
4523,19396,112.18462456089368,108,1.0,High,1.0
4525,19400,40.52235746026138,57,0.0,Low,3.0
4526,19406,138.47688278715265,13,0.0,High,1.0
4527,19410,122.89910340398423,11,1.0,High,1.0
4529,19415,85.64584483750373,25,1.0,Medium,2.0
4531,19419,114.60428920208813,17,1.0,High,1.0
4533,19421,77.44550781319603,23,0.0,Medium,2.0
4534,19423,83.5050661518782,14,0.0,Medium,2.0
4535,19425,121.45953979843848,25,0.0,High,1.0
4536,19427,82.38387333236444,13,0.0,Medium,2.0
4537,19431,110.25193768443758,21,1.0,High,1.0
4538,19432,98.36455132731419,150,1.0,High,1.0
4539,19433,69.7825993418705,84,1.0,Low,3.0
4540,19434,91.37073714773292,17,1.0,Medium,2.0
4541,19443,98.76737685563914,34,1.0,High,1.0
4542,19446,95.8952689981536,34,0.0,High,1.0
4544,19448,67.86879140050728,53,1.0,Low,3.0
4546,19459,56.898190056886314,12,0.0,Low,3.0
4547,19472,81.04363156382112,40,0.0,Medium,2.0
4548,19473,80.45496688775864,26,0.0,Medium,2.0
4550,19482,103.10407440779119,21,0.0,High,1.0
4551,19483,90.35567512810297,91,0.0,Medium,2.0
4554,19496,122.7036271665926,14,0.0,High,1.0
